1477204477226,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   33  Frequency '
1477204477234,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   35  Frequency '
1477204477237,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   37  Frequency '
1477204477240,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   38  Frequency '
1477204477242,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   39  Frequency '
1477204477244,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   40  Frequency '
1477204477247,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   41  Frequency '
1477204477249,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   44  Frequency '
1477204477252,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   47  Frequency '
1477204477254,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   48  Frequency '
1477204477260,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   53  Frequency '
1477204477263,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   54  Frequency '
1477204477265,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   55  Frequency '
1477204477268,Over Frequency :60.5,Time :14:34:42:916000, u'Bus   56  Frequency '
1477204477439,Under Voltage(5) :0.0,Time :14:34:39:916000, u'Bus   16  TSBusVPU '
1477204477587,Under Voltage(20) :0.0,Time :14:34:39:916000, u'Bus   16  TSBusVPU '
1477204485214,Over Frequency :60.53,Time :14:34:50:917000, u'Bus   20  Frequency '
1477204485290,Over Frequency :60.53,Time :14:34:50:917000, u'Bus   50  Frequency '
1477204485487,Under Voltage(5) :0.0,Time :14:34:52:917000, u'Bus   20  TSBusVPU '
1477204485487,Under Voltage(5) :0.94,Time :14:34:44:917000, u'Bus   21  TSBusVPU '
1477204485521,Under Voltage(5) :0.0,Time :14:34:50:917000, u'Bus   34  TSBusVPU '
1477204485548,Under Voltage(5) :0.92,Time :14:34:44:917000, u'Bus   47  TSBusVPU '
1477204485548,Under Voltage(5) :0.94,Time :14:34:44:917000, u'Bus   48  TSBusVPU '
1477204485551,Under Voltage(5) :0.0,Time :14:34:52:917000, u'Bus   50  TSBusVPU '
1477204485617,Under Voltage(20) :0.0,Time :14:34:52:917000, u'Bus   20  TSBusVPU '
1477204485658,Under Voltage(20) :0.0,Time :14:34:50:917000, u'Bus   34  TSBusVPU '
1477204485697,Under Voltage(20) :0.0,Time :14:34:52:917000, u'Bus   50  TSBusVPU '
1477204485725,Over Voltage(5) :1.05,Time :14:34:44:917000, u'Bus   10  TSBusVPU '
1477204493494,Under Voltage(5) :0.94,Time :14:34:52:928000, u'Bus   47  TSBusVPU '
1477204493627,Under Voltage(20) :0.0,Time :14:34:52:928000, u'Bus   47  TSBusVPU '
1477204502208,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   10  Frequency '
1477204502215,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   13  Frequency '
1477204502223,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   17  Frequency '
1477204502230,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   19  Frequency '
1477204502249,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   28  Frequency '
1477204502252,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   29  Frequency '
1477204502259,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   31  Frequency '
1477204502262,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   32  Frequency '
1477204502265,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   33  Frequency '
1477204502268,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   35  Frequency '
1477204502275,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   38  Frequency '
1477204502278,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   39  Frequency '
1477204502297,Over Frequency :60.58,Time :14:35:01:928000, u'Bus   53  Frequency '
1477204502304,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   55  Frequency '
1477204502307,Over Frequency :60.52,Time :14:35:08:928000, u'Bus   56  Frequency '
1477204502307,Under Frequency :59.48,Time :14:35:02:928000, u'Bus   1  Frequency '
1477204502308,Under Frequency :59.49,Time :14:35:02:928000, u'Bus   3  Frequency '
1477204502309,Under Frequency :59.49,Time :14:35:02:928000, u'Bus   5  Frequency '
1477204502309,Under Frequency :59.48,Time :14:35:02:928000, u'Bus   10  Frequency '
1477204502310,Under Frequency :59.49,Time :14:35:02:928000, u'Bus   12  Frequency '
1477204502311,Under Frequency :59.48,Time :14:35:02:928000, u'Bus   13  Frequency '
1477204502311,Under Frequency :59.48,Time :14:35:02:928000, u'Bus   15  Frequency '
1477204502312,Under Frequency :59.48,Time :14:35:02:928000, u'Bus   17  Frequency '
1477204502313,Under Frequency :59.49,Time :14:35:02:928000, u'Bus   18  Frequency '
1477204502313,Under Frequency :59.48,Time :14:35:02:928000, u'Bus   19  Frequency '
